year,city,country,avg_temp_city,year,avg_temp_global
1855,La Paz,Bolivia,7.40,1855,8.11
1856,La Paz,Bolivia,7.81,1856,8.00
1857,La Paz,Bolivia,7.66,1857,7.76
1858,La Paz,Bolivia,8.02,1858,8.10
1859,La Paz,Bolivia,8.70,1859,8.25
1860,La Paz,Bolivia,8.41,1860,7.96
1861,La Paz,Bolivia,8.05,1861,7.85
1862,La Paz,Bolivia,7.96,1862,7.56
1863,La Paz,Bolivia,8.27,1863,8.11
1864,La Paz,Bolivia,8.05,1864,7.98
1865,La Paz,Bolivia,8.29,1865,8.18
1866,La Paz,Bolivia,8.36,1866,8.29
1867,La Paz,Bolivia,8.42,1867,8.44
1868,La Paz,Bolivia,8.38,1868,8.25
1869,La Paz,Bolivia,8.42,1869,8.43
1870,La Paz,Bolivia,8.21,1870,8.20
1871,La Paz,Bolivia,8.25,1871,8.12
1872,La Paz,Bolivia,8.20,1872,8.19
1873,La Paz,Bolivia,8.89,1873,8.35
1874,La Paz,Bolivia,8.10,1874,8.43
1875,La Paz,Bolivia,7.82,1875,7.86
1876,La Paz,Bolivia,8.50,1876,8.08
1877,La Paz,Bolivia,9.01,1877,8.54
1878,La Paz,Bolivia,8.75,1878,8.83
1879,La Paz,Bolivia,8.22,1879,8.17
1880,La Paz,Bolivia,8.27,1880,8.12
1881,La Paz,Bolivia,8.46,1881,8.27
1882,La Paz,Bolivia,8.20,1882,8.13
1883,La Paz,Bolivia,8.20,1883,7.98
1884,La Paz,Bolivia,8.04,1884,7.77
1885,La Paz,Bolivia,8.03,1885,7.92
1886,La Paz,Bolivia,7.95,1886,7.95
1887,La Paz,Bolivia,8.40,1887,7.91
1888,La Paz,Bolivia,8.44,1888,8.09
1889,La Paz,Bolivia,8.21,1889,8.32
1890,La Paz,Bolivia,8.04,1890,7.97
1891,La Paz,Bolivia,8.18,1891,8.02
1892,La Paz,Bolivia,8.04,1892,8.07
1893,La Paz,Bolivia,8.00,1893,8.06
1894,La Paz,Bolivia,8.25,1894,8.16
1895,La Paz,Bolivia,8.56,1895,8.15
1896,La Paz,Bolivia,8.89,1896,8.21
1897,La Paz,Bolivia,8.58,1897,8.29
1898,La Paz,Bolivia,8.17,1898,8.18
1899,La Paz,Bolivia,8.38,1899,8.40
1900,La Paz,Bolivia,8.97,1900,8.50
1901,La Paz,Bolivia,8.71,1901,8.54
1902,La Paz,Bolivia,8.72,1902,8.30
1903,La Paz,Bolivia,8.20,1903,8.22
1904,La Paz,Bolivia,8.69,1904,8.09
1905,La Paz,Bolivia,9.05,1905,8.23
1906,La Paz,Bolivia,8.54,1906,8.38
1907,La Paz,Bolivia,8.29,1907,7.95
1908,La Paz,Bolivia,8.05,1908,8.19
1909,La Paz,Bolivia,8.25,1909,8.18
1910,La Paz,Bolivia,8.10,1910,8.22
1911,La Paz,Bolivia,8.51,1911,8.18
1912,La Paz,Bolivia,8.89,1912,8.17
1913,La Paz,Bolivia,8.90,1913,8.30
1914,La Paz,Bolivia,8.96,1914,8.59
1915,La Paz,Bolivia,9.44,1915,8.59
1916,La Paz,Bolivia,8.18,1916,8.23
1917,La Paz,Bolivia,7.85,1917,8.02
1918,La Paz,Bolivia,8.34,1918,8.13
1919,La Paz,Bolivia,8.94,1919,8.38
1920,La Paz,Bolivia,8.57,1920,8.36
1921,La Paz,Bolivia,8.37,1921,8.57
1922,La Paz,Bolivia,8.29,1922,8.41
1923,La Paz,Bolivia,8.35,1923,8.42
1924,La Paz,Bolivia,8.54,1924,8.51
1925,La Paz,Bolivia,8.67,1925,8.53
1926,La Paz,Bolivia,9.31,1926,8.73
1927,La Paz,Bolivia,8.80,1927,8.52
1928,La Paz,Bolivia,8.99,1928,8.63
1929,La Paz,Bolivia,8.66,1929,8.24
1930,La Paz,Bolivia,8.69,1930,8.63
1931,La Paz,Bolivia,9.05,1931,8.72
1932,La Paz,Bolivia,8.64,1932,8.71
1933,La Paz,Bolivia,8.63,1933,8.34
1934,La Paz,Bolivia,8.40,1934,8.63
1935,La Paz,Bolivia,8.80,1935,8.52
1936,La Paz,Bolivia,9.08,1936,8.55
1937,La Paz,Bolivia,9.09,1937,8.70
1938,La Paz,Bolivia,8.76,1938,8.86
1939,La Paz,Bolivia,8.85,1939,8.76
1940,La Paz,Bolivia,9.28,1940,8.76
1941,La Paz,Bolivia,9.56,1941,8.77
1942,La Paz,Bolivia,8.85,1942,8.73
1943,La Paz,Bolivia,8.88,1943,8.76
1944,La Paz,Bolivia,8.71,1944,8.85
1945,La Paz,Bolivia,9.23,1945,8.58
1946,La Paz,Bolivia,8.57,1946,8.68
1947,La Paz,Bolivia,8.91,1947,8.80
1948,La Paz,Bolivia,8.67,1948,8.75
1949,La Paz,Bolivia,8.60,1949,8.59
1950,La Paz,Bolivia,8.52,1950,8.37
1951,La Paz,Bolivia,8.72,1951,8.63
1952,La Paz,Bolivia,9.07,1952,8.64
1953,La Paz,Bolivia,9.23,1953,8.87
1954,La Paz,Bolivia,8.75,1954,8.56
1955,La Paz,Bolivia,8.30,1955,8.63
1956,La Paz,Bolivia,8.45,1956,8.28
1957,La Paz,Bolivia,8.96,1957,8.73
1958,La Paz,Bolivia,9.57,1958,8.77
1959,La Paz,Bolivia,9.11,1959,8.73
1960,La Paz,Bolivia,8.77,1960,8.58
1961,La Paz,Bolivia,8.89,1961,8.80
1962,La Paz,Bolivia,8.29,1962,8.75
1963,La Paz,Bolivia,8.79,1963,8.86
1964,La Paz,Bolivia,8.85,1964,8.41
1965,La Paz,Bolivia,9.14,1965,8.53
1966,La Paz,Bolivia,9.25,1966,8.60
1967,La Paz,Bolivia,9.12,1967,8.70
1968,La Paz,Bolivia,8.81,1968,8.52
1969,La Paz,Bolivia,9.78,1969,8.60
1970,La Paz,Bolivia,9.33,1970,8.70
1971,La Paz,Bolivia,8.74,1971,8.60
1972,La Paz,Bolivia,9.19,1972,8.50
1973,La Paz,Bolivia,9.43,1973,8.95
1974,La Paz,Bolivia,8.62,1974,8.47
1975,La Paz,Bolivia,8.96,1975,8.74
1976,La Paz,Bolivia,8.73,1976,8.35
1977,La Paz,Bolivia,8.99,1977,8.85
1978,La Paz,Bolivia,8.84,1978,8.69
1979,La Paz,Bolivia,8.82,1979,8.73
1980,La Paz,Bolivia,8.99,1980,8.98
1981,La Paz,Bolivia,8.82,1981,9.17
1982,La Paz,Bolivia,9.17,1982,8.64
1983,La Paz,Bolivia,10.31,1983,9.03
1984,La Paz,Bolivia,9.08,1984,8.69
1985,La Paz,Bolivia,9.32,1985,8.66
